EventTime,DeviceName,RSSI,SNR,Description
9/15/2020 18:49,Dry Contact Sensor 01,-110,-8.5,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:48,Dry Contact Sensor 01,-21,8,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:24,Dry Contact Sensor 01,-21,7.8,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:21,Dry Contact Sensor 01,-17,10,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:20,Dry Contact Sensor 01,-15,9.8,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:20,Dry Contact Sensor 01,-19,10,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:20,Dry Contact Sensor 01,-17,10,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:18,Dry Contact Sensor 01,-27,13,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:17,Dry Contact Sensor 01,-62,12.8,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:17,Dry Contact Sensor 01,-62,13,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:16,Dry Contact Sensor 01,-19,8.5,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:16,Dry Contact Sensor 01,-23,11.2,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:16,Dry Contact Sensor 01,-23,8.2,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:15,Dry Contact Sensor 01,-26,12.2,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:14,Dry Contact Sensor 01,-20,11.5,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:14,Dry Contact Sensor 01,-52,11.8,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:13,Dry Contact Sensor 01,-105,-10,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:13,Dry Contact Sensor 01,-105,-7,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:09,Dry Contact Sensor 01,-109,-10.2,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:09,Dry Contact Sensor 01,-110,-8.5,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:09,Dry Contact Sensor 01,-110,-11.8,Contacts opened
9/15/2020 18:09,Dry Contact Sensor 01,-110,-10.5,Contacts Shorted
9/15/2020 18:09,Dry Contact Sensor 01,-109,-7.8,Contacts opened
9/15/2020 18:09,Dry Contact Sensor 01,-111,-6.8,Contacts Shorted
9/15/2020 18:09,Dry Contact Sensor 01,-108,-10,Contacts opened
9/15/2020 18:09,Dry Contact Sensor 01,-111,-8.8,Contacts Shorted
9/15/2020 18:08,Dry Contact Sensor 01,-109,-7.5,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:08,Dry Contact Sensor 01,-111,-7.2,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:08,Dry Contact Sensor 01,-109,-12.2,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:07,Dry Contact Sensor 01,-110,-10.8,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:07,Dry Contact Sensor 01,-109,-11.5,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:07,Dry Contact Sensor 01,-110,-11.2,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:07,Dry Contact Sensor 01,-111,-6.5,Supervisory Message Accumulation Count: 6 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:07,Dry Contact Sensor 01,-109,-10.5,Contacts opened
9/15/2020 18:07,Dry Contact Sensor 01,-110,-10,Contacts Shorted
9/15/2020 18:03,Dry Contact Sensor 01,-111,-7.2,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:03,Dry Contact Sensor 01,-108,-10.2,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:03,Dry Contact Sensor 01,-111,-6.8,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:03,Dry Contact Sensor 01,-115,-4,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:02,Dry Contact Sensor 01,-111,-4.5,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 18:00,Dry Contact Sensor 01,-108,-10,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 17:58,Dry Contact Sensor 01,-110,-11.5,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 17:57,Dry Contact Sensor 01,-110,-13.8,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 17:57,Dry Contact Sensor 01,-109,-11.8,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 17:56,Dry Contact Sensor 01,-111,-8.8,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 17:56,Dry Contact Sensor 01,-109,-7.2,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 17:55,Dry Contact Sensor 01,-110,-11.8,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
9/15/2020 17:55,Dry Contact Sensor 01,-109,-11.5,Supervisory Message Accumulation Count: 0 Sensor State: Contacts opened Battery: 3.2V
